Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Alabama,All modes,2012,214750,191500,51227,353
Alabama,All modes,2007,182785,268926,58222,396
Alabama,Single modes,2012,186001,183784,44765,182
Alabama,Single modes,2007,152202,257077,51295,168
Alabama,Truck,2012,172409,153300,27111,165
Alabama,Truck,2007,138230,216993,30088,155
Alabama,For-hire truck,2012,114642,91133,23819,323
Alabama,For-hire truck,2007,84748,109346,22018,417
Alabama,Private truck,2012,57767,62167,3292,58
Alabama,Private truck,2007,53483,107646,8070,71
Alabama,Rail,2012,10663,27064,15638,732
Alabama,Rail,2007,12388,37916,20504,700
Alabama,Water,2012,S,2907,1974,916
Alabama,Water,2007,710,S,S,476
Alabama,Inland water,2012,S,S,S,896
Alabama,Inland water,2007,S,S,S,821
Alabama,Deep sea,2012,0,0,0,0
Alabama,Deep sea,2007,S,S,S,S
Alabama,Multiple Waterways,2012,243,1257,1075,986
Alabama,Multiple Waterways,2007,X,X,X,X
Alabama,Air (incl truck and air),2012,1458,26,39,996
Alabama,Air (incl truck and air),2007,849,22,32,863
Alabama,Pipeline,2012,448,487,S,S
Alabama,Pipeline,2007,S,S,S,S
Alabama,Multiple modes,2012,28749,7716,6462,630
Alabama,Multiple modes,2007,27897,7465,6381,650
Alabama,"Parcel, U.S.P.S. or courier",2012,15409,187,109,621
Alabama,"Parcel, U.S.P.S. or courier",2007,17856,536,256,648
Alabama,Truck and rail,2012,12464,6674,5965,1206
Alabama,Truck and rail,2007,8143,4274,3998,893
Alabama,Truck and water,2012,S,S,S,S
Alabama,Truck and water,2007,1286,S,1439,1584
Alabama,Rail and water,2012,0,0,0,0
Alabama,Rail and water,2007,35,S,85,S
Alabama,Other multiple modes,2012,0,0,0,0
Alabama,Other multiple modes,2007,577,S,S,437
Alabama,Other modes,2012,0,0,0,0
Alabama,Other modes,2007,2687,4384,547,76
Alaska,All modes,2012,19848,23958,3108,156
Alaska,All modes,2007,18184,28743,12633,176
Alaska,Single modes,2012,18812,23702,2772,77
Alaska,Single modes,2007,16124,27070,10299,133
Alaska,Truck,2012,9530,12567,581,50
Alaska,Truck,2007,8032,15139,665,64
Alaska,For-hire truck,2012,2883,2398,289,138
Alaska,For-hire truck,2007,2333,3663,326,239
Alaska,Private truck,2012,6647,10169,291,26
Alaska,Private truck,2007,5699,11476,339,34
Alaska,Rail,2012,1412,5371,1616,357
Alaska,Rail,2007,S,5214,S,329
Alaska,Water,2012,3121,2971,408,582
Alaska,Water,2007,2896,3333,7589,891
Alaska,Inland water,2012,212,273,11,40
Alaska,Inland water,2007,S,S,S,S
Alaska,Deep sea,2012,2909,S,397,584
Alaska,Deep sea,2007,2885,3330,7589,896
Alaska,Air (incl truck and air),2012,2695,S,69,585
Alaska,Air (incl truck and air),2007,1241,S,S,1309
Alaska,Pipeline,2012,2054,2671,S,S
Alaska,Pipeline,2007,2091,2997,S,S
Alaska,Multiple modes,2012,1036,255,337,709
Alaska,Multiple modes,2007,1050,688,S,615
Alaska,"Parcel, U.S.P.S. or courier",2012,442,7,4,697
Alaska,"Parcel, U.S.P.S. or courier",2007,495,12,6,554
Alaska,Truck and rail,2012,S,S,S,S
Alaska,Truck and rail,2007,S,S,S,S
Alaska,Truck and water,2012,581,142,248,1113
Alaska,Truck and water,2007,488,509,S,1716
Alaska,Rail and water,2012,3,21,41,1916
Alaska,Rail and water,2007,S,S,S,S
Alaska,Other multiple modes,2012,0,0,0,0
Alaska,Other multiple modes,2007,S,S,S,1501
Alaska,Other modes,2012,0,0,0,0
Alaska,Other modes,2007,1011,985,313,212
Arizona,All modes,2012,147147,117119,16298,819
Arizona,All modes,2007,164820,175439,24207,780
Arizona,Single modes,2012,121075,116528,15771,174
Arizona,Single modes,2007,133824,169571,21717,420
Arizona,Truck,2012,111311,107309,14027,132
Arizona,Truck,2007,123371,159157,19702,326
Arizona,For-hire truck,2012,70781,70581,12092,297
Arizona,For-hire truck,2007,59880,61391,14339,998
Arizona,Private truck,2012,40530,36728,1934,35
Arizona,Private truck,2007,63490,97767,5363,50
Arizona,Rail,2012,1596,9183,1690,516
Arizona,Rail,2007,1811,10156,1867,465
Arizona,Air (incl truck and air),2012,8168,37,54,1356
Arizona,Air (incl truck and air),2007,8545,112,116,1401
Arizona,Pipeline,2012,0,0,S,S
Arizona,Pipeline,2007,S,S,S,S
Arizona,Multiple modes,2012,26072,591,527,1268
Arizona,Multiple modes,2007,27542,2600,2126,1352
Arizona,"Parcel, U.S.P.S. or courier",2012,25894,268,289,1268
Arizona,"Parcel, U.S.P.S. or courier",2007,26913,317,365,1351
Arizona,Truck and rail,2012,138,315,214,S
Arizona,Truck and rail,2007,489,S,1614,1202
Arizona,Truck and water,2012,S,S,25,5114
Arizona,Truck and water,2007,S,S,S,3698
Arizona,Other modes,2012,0,0,0,0
Arizona,Other modes,2007,3454,3267,364,287
Arkansas,All modes,2012,114095,121430,30478,334
Arkansas,All modes,2007,101915,137545,40027,368
Arkansas,Single modes,2012,105909,113762,26264,191
Arkansas,Single modes,2007,89938,127792,32891,187
Arkansas,Truck,2012,97775,99168,18658,184
Arkansas,Truck,2007,84263,109656,23067,179
Arkansas,For-hire truck,2012,58953,45724,15548,448
Arkansas,For-hire truck,2007,54653,53196,19125,599
Arkansas,Private truck,2012,38821,53444,3109,55
Arkansas,Private truck,2007,29609,56460,3941,53
Arkansas,Rail,2012,6142,13475,7362,727
Arkansas,Rail,2007,3827,14557,8011,663
Arkansas,Water,2012,480,1102,S,202
Arkansas,Water,2007,771,3439,1804,531
Arkansas,Inland water,2012,480,1102,S,202
Arkansas,Inland water,2007,771,3439,1804,531
Arkansas,Air (incl truck and air),2012,S,S,S,1066
Arkansas,Air (incl truck and air),2007,1000,5,7,986
Arkansas,Pipeline,2012,0,0,S,S
Arkansas,Pipeline,2007,S,S,S,S
Arkansas,Multiple modes,2012,8186,7668,4214,590
Arkansas,Multiple modes,2007,9894,8136,6684,852
Arkansas,"Parcel, U.S.P.S. or courier",2012,4701,102,64,587
Arkansas,"Parcel, U.S.P.S. or courier",2007,5300,143,121,850
Arkansas,Truck and rail,2012,2467,5697,3335,982
Arkansas,Truck and rail,2007,3905,7107,5877,935
Arkansas,Truck and water,2012,760,1190,800,S
Arkansas,Truck and water,2007,516,650,476,2100
Arkansas,Rail and water,2012,S,S,S,S
Arkansas,Rail and water,2007,0,0,0,0
Arkansas,Other multiple modes,2012,0,0,0,0
Arkansas,Other multiple modes,2007,174,236,210,919
Arkansas,Other modes,2012,0,0,0,0
Arkansas,Other modes,2007,2083,1617,452,S
California,All modes,2012,1476407,718345,171432,907
California,All modes,2007,1341220,900817,180976,975
California,Single modes,2012,1184126,699009,152350,400
California,Single modes,2007,1017796,848278,152625,408
California,Truck,2012,1007514,591255,120333,367
California,Truck,2007,893972,738550,131440,361
California,For-hire truck,2012,624281,297420,106432,896
California,For-hire truck,2007,501681,308940,106747,962
California,Private truck,2012,383233,293835,13901,120
California,Private truck,2007,392291,429610,24693,47
California,Rail,2012,19843,23515,23757,1414
California,Rail,2007,15202,22101,16641,832
California,Water,2012,19400,17419,763,2301
California,Water,2007,2787,S,673,1882
California,Inland water,2012,9376,8639,95,S
California,Inland water,2007,2574,S,475,S
California,Deep sea,2012,S,S,668,2493
California,Deep sea,2007,214,S,198,2331
California,Air (incl truck and air),2012,78193,787,1328,1620
California,Air (incl truck and air),2007,48014,906,1543,1801
California,Pipeline,2012,59176,66033,S,S
California,Pipeline,2007,57820,80403,S,S
California,Multiple modes,2012,292281,19336,19083,1334
